School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
1886,Abbotsford Primary School,Primary,O,15,16,31,10,17,27,10,10,20,8,14,22,7,10,17,10,5,15,9,10,19,151
4220,Aberfeldie Primary School,Primary,O,36,34,70,35,37,72,32,24,56,23,28,51,21,19,40,16,22,38,25,21,46,373
4879,Ainslie Parklands Primary School,Primary,O,13,11,24,13,18,31,15,20,35,17,11,28,13,10,23,14,12,26,8,7,15,182
5566,Aireys Inlet Primary School,Primary,O,9,3,12,8,10,18,12,6,18,10,8,18,11,4,15,8,9,17,10,6,16,114
4169,Airly Primary School,Primary,O,7,0,7,4,2,6,2,5,7,2,1,3,0,4,4,1,2,3,3,0,3,33
5522,Aitken Creek Primary School,Primary,O,93,79,172,93,119,212,92,75,167,80,60,140,66,61,127,39,36,75,45,32,77,970
5528,Alamanda K-9 College,Pri/Sec,O,161,164,325,160,174,334,141,131,272,134,127,261,117,93,210,104,77,181,63,70,133,1716
5179,Albanvale Primary School,Primary,O,21,18,39,17,15,32,25,22,47,17,15,32,21,19,40,13,15,28,9,24,33,251
5427,Albany Rise Primary School,Primary,O,25,16,41,27,21,48,27,19,46,20,18,38,17,21,38,20,21,41,23,27,50,302
1181,Albert Park Primary School,Primary,O,43,51,94,54,42,96,46,36,82,40,53,93,42,35,77,38,31,69,23,40,63,574
1,Alberton Primary School,Primary,O,4,4,8,3,1,4,3,1,4,3,6,9,5,2,7,11,3,14,1,1,2,48
4855,Albion North Primary School,Primary,O,22,21,43,15,11,26,17,24,41,20,27,47,19,15,34,14,19,33,12,16,28,252
4265,Albion Primary School,Primary,O,16,14,30,12,19,31,13,9,22,5,17,22,21,7,28,12,11,23,13,13,26,182
5043,Aldercourt Primary School,Primary,O,19,14,33,13,15,28,10,10,20,13,17,30,13,16,29,12,10,22,13,10,23,185
912,Alexandra Primary School,Primary,O,8,14,22,7,9,16,17,15,32,14,8,22,11,10,21,12,20,32,13,14,27,172
1091,Alfredton Primary School,Primary,O,40,37,77,44,44,88,48,41,89,44,38,82,40,42,82,34,39,73,52,47,99,590
3,Allansford and District Primary School,Primary,O,13,12,25,4,11,15,12,6,18,12,17,29,16,14,30,8,12,20,10,14,24,161
3599,Alphington Primary School,Primary,O,31.4,32,63.4,33,30,63,32,40,72,30,28,58,32,31,63,27,28,55,24,28,52,426.4
5287,Altona Green Primary School,Primary,O,31,34,65,23,32,55,37,36,73,28.4,28,56.4,21,23,44,18,21,39,26,22,48,380.4
5172,Altona Meadows Primary School,Primary,O,37,25,62,23,28,51,34,34,68,28,27,55,29,32,61,42,27,69,32,30,62,428
4931,Altona North Primary School,Primary,O,14,9,23,11,15,26,16,19,35,20.4,8,28.4,20,13,33,11,16,27,24,7,31,203.4
8857,Altona P-9 College,Pri/Sec,O,8,12,20,12,12,24,13,6,19,9,10,19,16,8,24,6,8,14,13,11,24,144
3923,Altona Primary School,Primary,O,50,43,93,40,50,90,45,58,103,50,34,84,46,47,93,41,41,82,43.6,42,85.6,630.6
6201,Alvie Consolidated School,Primary,O,2.7,2,4.7,4,2,6,0,4,4,3,3,6,2,3,5,4,1,5,0,5,5,35.7
1637,Amphitheatre Primary School,Primary,O,3,1,4,1,1,2,0,0,0,0,0,0,2,1,3,3,1,4,0,0,0,13
5428,Amsleigh Park Primary School,Primary,O,27,29,56,33,21,54,26,27,53,28,21,49,25,28,53,24,29,53,32,18,50,368
1910,Anakie Primary School,Primary,O,2,2,4,5,7,12,4,3,7,3,7,10,4,8,12,3,2,5,7,5,12,62
5104,Andersons Creek Primary School,Primary,O,26,18,44,33,21,54,14,26,40,31,35,66,18,23,41,18,24,42,21,31,52,339
4332,Anglesea Primary School,Primary,O,18,8,26,9,8,17,9,6,15,8,10,18,8,7,15,7,7,14,12,7,19,124
4844,Antonio Park Primary School,Primary,O,38,36,74,40.2,35,75.2,39,37,76,35.4,38,73.4,38,29,67,43,29,72,33,32,65,502.6
6203,Apollo Bay P-12 College,Pri/Sec,O,9,8,17,15,9,24,6,12,18,10,15,25,14,11,25,8,14,22,15,9,24,155
5184,Apollo Parkways Primary School,Primary,O,56,60,116,45,66,111,51,64,115,61,64,125,43,56,99,71,61,132,62,54,116,814
5207,Appin Park Primary School,Primary,O,11,9,20,17,16,33,14,5,19,20,10,30,19,16,35,16,11,27,23,17,40,204
1208,Apsley Primary School,Primary,O,4,0,4,3,4,7,0,0,0,1,2,3,1,0,1,1,1,2,3,0,3,20
5021,Araluen Primary School,Primary,O,4,9,13,5,7,12,6,6,12,7,8,15,8,12,20,10,11,21,9,10,19,112
4995,Ararat North Primary School,Primary,O,0,1,1,3,0,3,4,4,8,1,3,4,2,7,9,1,8,9,6,2,8,42
800,Ararat Primary School,Primary,O,13.4,15.2,28.6,11,18,29,15,19,34,17,17,34,23,20,43,26,18,44,16,21,37,249.6
4720,Ararat West Primary School,Primary,O,11,20,31,21,12,33,12,15,27,14,19,33,17,14,31,17,13,30,17,17,34,219
4848,Ardeer Primary School,Primary,O,14,8,22,12.6,16,28.6,10,8,18,9,11,20,8.4,8,16.4,10,5,15,11,9,20,140
5064,Ardeer South Primary School,Primary,O,12,12,24,17,10,27,16,13,29,22,15,37,18,11,29,16,16,32,12,23,35,213
1563,Ardmona Primary School,Primary,O,2,1,3,1,1,2,4,2,6,4,2,6,1,1,2,4,1,5,0,3,3,27
2634,Armadale Primary School,Primary,O,28,28,56,39.4,42,81.4,33,30,63,23,18,41,19,34,53,20,18,38,17,18,35,367.4
5557,Arnolds Creek Primary School,Primary,O,44,46,90,38,31,69,31,31,62,27,23,50,17,26,43,19,26,45,12,15,27,386
1666,Arthurs Creek Primary School,Primary,O,3,2,5,2,4,6,6,4,10,4,4,8,6,7,13,4,6,10,3,3,6,58
2608,Ascot Vale Primary School,Primary,O,21,19,40,16,19,35,17,24,41,20,32,52,18,15,33,14,14,28,19,20,39,268
4025,Ascot Vale West Primary School,Primary,O,18,15,33,25,18,43,23,16,39,20,23,43,26,20,46,25,14,39,27,13,40,283
4317,Ashburton Primary School,Primary,O,45,45,90,38,40,78,44,45,89,42,36,78,41,46,87,39,34,73,26,29,55,550
1492,Ashby Primary School,Primary,O,23,19,42,19,16,35,18,18,36,21,26,47,18,21,39,11,12,23,11,8,19,241
5301,Aspendale Gardens Primary School,Primary,O,51,44.2,95.2,53,52,105,48,35,83,61,46,107,57,47.2,104.2,35,36.6,71.6,48,40,88,654
4193,Aspendale Primary School,Primary,O,37,45,82,45,37,82,30,55,85,38,32,70,43,37,80,35,28,63,27,34,61,523
5536,Athol Road Primary School,Primary,O,28,35,63,29,27,56,28,29,57,28,23,51,40,22,62,20,16,36,24,15,39,364
2948,Auburn Primary School,Primary,O,39,47,86,50,29,79,38,44,82,46,36,82,37,41,78,29,29,58,23,25,48,513
4183,Auburn South Primary School,Primary,O,51,46,97,60,51,111,48,55,103,54,48,102,50,51,101,41,47,88,35,30,65,667
8,Avenel Primary School,Primary,O,19,12,31,10,7,17,10,15,25,10,6,16,9,7,16,11,4,15,4,9,13,133
4,Avoca Primary School,Primary,O,8,10,18,7,5,12,11,7,18,7,5,12,10,4,14,10,7,17,7,5,12,103
4812,Avondale Primary School,Primary,O,38,16,54,32,24,56,39,25,64,22,28,50,25,20,45,15,26,41,32,19,51,361
1008,Axedale Primary School,Primary,O,16,4,20,5,9,14,12,15,27,5,5,10,5,9,14,8,6,14,3,6,9,108
28,Bacchus Marsh Primary School,Primary,O,63,63,126,69,77,146,71,49,120,67,70,137,65,52,117,65,64,129,59,55,114,889
5315,Baden Powell P-9 College,Pri/Sec,O,74,78,152,68,64,132,79,92,171,80,60,140,66,52,118,93,81,174,91,93,184,1071
3309,Badger Creek Primary School,Primary,O,12,17,29,20,13,33,11,9,20,10,15,25,16,12,28,11,4,15,10,9,19,169
754,Bairnsdale Primary School,Primary,O,10,14,24,19,16,35,15,21,36,17,16,33,15,25,40,15,25,40,22,25,47,255
4725,Bairnsdale West Primary School,Primary,O,26,14,40,18,17,35,19,9,28,18,18,36,20,24,44,16,17,33,12,17,29,245
5005,Ballam Park Primary School,Primary,O,23,21,44,29,21,50,30,22,52,26,26,52,36,24,60,28,16,44,24,24,48,350
1435,Ballan Primary School,Primary,O,15,13,28,16,11,27,21,12,33,11,11,22,12,18,30,11,7,18,10,13,23,181
4690,Ballarat North Primary School,Primary,O,27,29,56,29,30,59,26,22,48,36,33,69,23,27,50,39,31,70,23,20,43,395
33,Ballarat Primary School (Dana Street),Primary,O,16,13,29,15,18,33,8,14,22,23,27,50,20,19,39,19,16,35,27,20,47,255
3787,Balliang East Primary School,Primary,O,6,8,14,5,2,7,4,3,7,6,0,6,4,0,4,5,2,7,5,2,7,52
8872,Balmoral K-12 Community College,Pri/Sec,O,3,3,6,8,6,14,6,8,14,13,6,19,6,12,18,8,4,12,7,7,14,97
1698,Balnarring Primary School,Primary,O,39,19,58,18,35,53,24,24,48,33,26,59,31,25,56,24,37,61,20,21,41,376
4638,Balwyn North Primary School,Primary,O,30,30,60,29,35,64,28,25,53,32,27,59,44,26.4,70.4,40,34,74,53,35,88,468.4
1026,Balwyn Primary School,Primary,O,33,40,73,37,42,79,40,41,81,43,38,81,40,35,75,35,25,60,27,34,61,510
4691,Bandiana Primary School,Primary,O,26,26,52,23,15,38,25,25.6,50.6,19,18,37,25,22,47,14,16,30,20,20,40,294.6
932,Bannockburn Primary School,Primary,O,42,42,84,30,34,64,39,57,96,51,40,91,37,42,79,45,32,77,40,41,81,572
3613,Banyan Fields Primary School,Primary,O,54,73,127,54,44,98,54,58,112,42,45,87,45,49,94,52,53,105,42,36,78,701
4746,Banyule Primary School,Primary,O,46,59,105,50,43,93,42,43,85,60,52,112,50,49,99,49,46,95,37,25,62,651
2222,Baranduda Primary School,Primary,O,17,22,39,17,21,38,21,22,43,24,18,42,15,19,34,21,21,42,13,11,24,262
1687,Baringhup Primary School,Primary,O,0,2,2,3,0,3,0,0,0,2,0,2,1,1,2,2,1,3,2,0,2,14
1489,Barnawartha Primary School,Primary,O,2,3,5,0,1,1,3,2,5,2,0,2,4,1,5,3,0,3,1,1,2,23
5560,Barton Primary School,Primary,O,52,50,102,17,17,34,10,18,28,19,13,32,13,8,21,12,11,23,3,5,8,248
1574,Barwon Heads Primary School,Primary,O,39,28,67,34,34,68,36,36,72,36,30,66,33,34,67,34,33,67,39,35,74,481
5195,Bass Valley Primary School,Primary,O,14,18,32,14,16,30,9,13,22,16,20,36,16,13,29,11,14,25,18,10,28,202
3023,Baxter Primary School,Primary,O,8,12,20,10,12,22,5,10,15,10,13,23,13,12,25,11,12,23,18,13,31,159
5421,Bayles Regional Primary School,Primary,O,11,11,22,12,9,21,3,17,20,16,11,27,4,10,14,5,10,15,6,9,15,134
8800,Bayside P-12 College,Pri/Sec,O,12,14,26,7,17,24,4,8,12,9,9,18,6,9,15,10,8,18,10,6,16,129
4143,Bayswater North Primary School,Primary,O,20,18,38,15,25,40,26,20,46,20,21,41,24,25,49,27,29,56,25,22,47,317
2163,Bayswater Primary School,Primary,O,14,7,21,6,10,16,11,11,22,7,4,11,7.2,7,14.2,6,5,11,4,9,13,108.2
4973,Bayswater South Primary School,Primary,O,39,25,64,28,19,47,19,21,40,28,18,46,22,19,41,29,11,40,15,10,25,303
5039,Bayswater West Primary School,Primary,O,18.4,21,39.4,21,14,35,26,13,39,7,13,20,19,15,34,16,22,38,9,11,20,225.4
3033,Beaconsfield Primary School,Primary,O,57,49,106,53,54,107,62,57,119,52,49,101,59,49,108,44,44,88,54,23,77,706
2560,Beaconsfield Upper Primary School,Primary,O,30,32,62,33,25,58,17,15,32,16,20,36,30,15,45,24,23,47,18,19,37,317
749,Bealiba Primary School,Primary,O,1,0,1,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,1,0,1,7
60,Beaufort Primary School,Primary,O,13,7,20,9,8,17,9,9,18,13,9,22,9,8,17,9,8,17,11,15,26,137
4803,Beaumaris North Primary School,Primary,O,58,50,108,44,52,96,45,54,99,44,61,105,56,47,103,46,52,98,44,45,89,698
3899,Beaumaris Primary School,Primary,O,21,40,61,38,38,76,38,45,83,37,45,82,31,50,81,43,46,89,31,31,62,534
482,Beeac Primary School,Primary,O,4,0,4,2,3,5,1,0,1,2,4,6,2,0,2,3,2,5,3,3,6,29
1560,Beechworth Primary School,Primary,O,19,7,26,11,12,23,8,19,27,17,17,34,16,16,32,12,16,28,16,17,33,203
3551,Belgrave South Primary School,Primary,O,24,12,36,25,21,46,22,19,41,18,20,38,31,15,46,20,24,44,21,19,40,291
4962,Bell Park North Primary School,Primary,O,12,11,23,7,11,18,13,13,26,16,22,38,16,15,31,15,15,30,15,9,24,190
4309,Bell Primary School,Primary,O,32.4,30,62.4,46,45,91,47,44,91,45,42,87,31,27,58,34,34,68,26,22.9,48.9,506.3
4873,Bellaire Primary School,Primary,O,55,48,103,46,36,82,47,35,82,36,43,79,51,51,102,46,37,83,35,41,76,607
319,Bellbrae Primary School,Primary,O,39,39,78,39,33,72,30,43,73,45,37,82,19,24.6,43.6,43,39,82,31,27,58,488.6
5254,Bellbridge Primary School,Primary,O,63,49,112,49,47,96,45,54,99,55,41,96,51,44,95,50,34,84,45,43,88,670
5453,Belle Vue Park Primary School,Primary,O,8,14,22,14,6,20,9,9,18,12,4,16,17,7,24,12,16,28,10,6,16,144
4733,Belle Vue Primary School,Primary,O,19,7,26,16,18,34,9,11,20,10,9,19,17,9,26,15,9,24,15,3,18,167
26,Belmont Primary School,Primary,O,21,21,42,23,17,40,23,20,43,17,18,35,18,20,38,21,23,44,23,32,55,297
4902,Belvedere Park Primary School,Primary,O,18,28,46,32,28,60,29,28,57,20,34,54,32,27,59,25,16,41,27,29,56,373
8915,Benalla P-12 College,Pri/Sec,O,37,22,59,30,38,68,39,35,74,35,28,63,35,41,76,47,36,83,35,42,77,500
877,Bendigo Primary School,Primary,O,12,15,27,12,15,27,17,13,30,12,12,24,10,15,25,8,12,20,8,7,15,168
4318,Bentleigh West Primary School,Primary,O,38,49,87,35,39,74,36,46,82,45,34,79,42,50,92,42,30,72,63,46,109,595
5488,Benton Junior College,Primary,O,70,59,129,79,60,139,66,70,136,63,70,133,62,54,116,78,69,147,58,54,112,912
5503,Berwick Chase Primary School,Primary,O,74,57,131,48,59,107,68,62,130,70,58,128,70,48,118,57,83,140,59,50,109,863
5305,Berwick Fields Primary School,Primary,O,72,60,132,64,59,123,77,57,134,72,61,133,83,66,149,76,58,134,79,103,182,987
5213,Berwick Lodge Primary School,Primary,O,60,47,107,42,48,90,45,43,88,43,45,88,48,35,83,48,43.4,91.4,36,46,82,629.4
40,Berwick Primary School,Primary,O,77,74,151,84,66,150,84,78,162,80,100,180,80,82,162,83,88,171,76.4,79,155.4,1131.4
5186,Bethal Primary School,Primary,O,18,21,39,22,16,38,24,19,43,18,19,37,17,16,33,20,8,28,19,19,38,256
1883,Bethanga Primary School,Primary,O,2,2,4,3,1,4,3,2,5,1,1,2,4,3,7,4,2,6,4,1,5,33
3109,Beulah Primary School,Primary,O,0,2,2,1,1,2,5,1,6,1,0,1,1,1,2,2,1,3,2,0,2,18
5407,Beverford District Primary School,Primary,O,3,3,6,3,4,7,2,1,3,2,1,3,2,2,4,2,4,6,2,1,3,32
1476,Beveridge Primary School,Primary,O,26,19,45,22,17,39,26,13,39,20,19,39,9,18,27,11,25,36,19,6,25,250
4813,Beverley Hills Primary School,Primary,O,35,26,61,36,42,78,36,37,73,33,36,69,38,30,68,22,29,51,29,19,48,448
1551,Big Hill Primary School,Primary,O,16,21,37,26,16,42,25,14,39,21,34,55,26,17,43,22,22,44,12,9,21,281
5193,Billanook Primary School,Primary,O,40,22,62,34,31,65,26,33,59,31,37,68,23,23,46,21,25,46,30,24,54,400
5011,Bimbadeen Heights Primary School,Primary,O,30,31,61,15,40,55,32,44,76,31,36,67,42,42,84,39,51,90,42,38,80,513
8832,Birchip P-12 School,Pri/Sec,O,1,4,5,8,11,19,12,5,17,3,10,13,6,13,19,11,11,22,6,9,15,110
5048,Birmingham Primary School,Primary,O,65,42,107,52,49,101,49,53,102,49,32,81,56,50,106,49,41,90,36,49,85,672
4991,Birralee Primary School,Primary,O,45,35,80,41.8,50,91.8,47,30,77,31.2,13,44.2,21.2,17,38.2,21,23,44,11,20,31,406.2
723,Birregurra Primary School,Primary,O,5,8,13,8,3,11,2,11,13,9,3,12,6,5,11,9,2,11,6,4,10,81
3933,Bittern Primary School,Primary,O,9,10,19,13,8,21,11,9,20,12,14,26,13,7,20,11,15,26,13,7,20,152
2043,Black Hill Primary School,Primary,O,37,48,85,29,46,75,30,37,67,41,40,81,33,38,71,45,39,84,30,43,73,536
3631,Black Rock Primary School,Primary,O,34,47,81,47,46,93,47.2,47,94.2,50,35,85,43,35,78,55,26,81,33,38,71,583.2
4860,Blackburn Lake Primary School,Primary,O,31,42,73,34,30,64,28,36,64,34,34,68,29,41,70,35,33,68,29,22,51,458
2923,Blackburn Primary School,Primary,O,60,38,98,33.2,34,67.2,28,29,57,49,37,86,32,32,64,40,30,70,38,39,77,519.2
6207,Boisdale Consolidated School,Primary,O,11,8,19,15,15,30,13,10,23,9,4,13,11,11,22,12,16,28,8,7,15,150
1070,Bolinda Primary School,Primary,O,0,2,2,2,3,5,5,3,8,1,0,1,4,1,5,4,7,11,1,10,11,43
1324,Bolwarra Primary School,Primary,O,7,10,17,6,8,14,8,6,14,9,4,13,4,7,11,11,5,16,3,5,8,93
3612,Bona Vista Primary School,Primary,O,0,2,2,2,2,4,4,0,4,2,4,6,2,4,6,2.1,2,4.1,4,5,9,35.1
4798,Bonbeach Primary School,Primary,O,30,26.4,56.4,17.2,24,41.2,18.2,26,44.2,20,16,36,28,29,57,17,17,34,24,13,37,305.8
1184,Boneo Primary School,Primary,O,31,28,59,29,16,45,19,26,45,26,21,47,28.6,25,53.6,30,24,54,33,34,67,370.6
2617,Boolarra Primary School,Primary,O,6,4,10,7,4,11,8,12,20,4,5,9,3,7,10,5,8,13,3,4,7,80
8882,Boort District P-12 School,Pri/Sec,O,4,5,9,7,8,15,8,7,15,4,7,11,11,5,16,12,10,22,10,11,21,109
4967,Boronia Heights Primary School,Primary,O,40,43,83,41,30,71,34,47,81,32,33,65,40,34,74,29,27,56,29,43,72,502
8913,Boronia K-12 College,Pri/Sec,O,20,21,41,17,17,34,20,21,41,18,23.2,41.2,27,13,40,23,17,40,20,26,46,283.2
4908,Boronia West Primary School,Primary,O,7,6,13,9,7,16,3,7,10,8,6,14,7,7,14,4,4,8,5,5,10,85
5288,Boroondara Park Primary School,Primary,O,33,39,72,30,44,74,35.4,54,89.4,49,39,88,58,37,95,48.6,50,98.6,59,48,107,624
4742,Bourchier Street Primary School Shepparton,Primary,O,54,40,94,41,36,77,49,37,86,55,48,103,43,46,89,50,34,84,45,42,87,620
4717,Box Hill North Primary School,Primary,O,15,20,35,25,20,45,23,20,43,21,19,40,25,25,50,33,11,44,14,25,39,296
7050,Box Hill Senior Secondary College,Pri/Sec,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4
5038,Brandon Park Primary School,Primary,O,50,40,90,43,39,82,36,19.2,55.2,19,23,42,22,21,43,18,23,41,15,18,33,386.2
5377,Branxholme-Wallacedale Community School,Primary,O,0,0,0,0,1,1,1,0,1,1,2,3,2,2,4,0,0,0,0,0,0,9
5308,Brentwood Park Primary School,Primary,O,60,59,119,58,48,106,52,42,94,46,58,104,42,38,80,47,47,94,38,39,77,674
1117,Briagolong Primary School,Primary,O,4,9,13,6,1,7,8,1,9,9,5,14,10,8,18,13,7,20,12,9,21,102
4341,Briar Hill Primary School,Primary,O,15,17,32,12,11,23,18,17,35,15,14,29,16,12,28,13,11,24,14,15.2,29.2,200.2
1097,Bridgewater Primary School,Primary,O,1,2,3,1,2,3,2,3,5,0,2,2,1,2,3,3,0,3,3,1,4,23
776,Bright P-12 College,Pri/Sec,O,15,11,26,20,17,37,24,19,43,16,9,25,25,14,39,16,19,35,25,12,37,242
2048,Brighton Beach Primary School,Primary,O,30,13,43,21,19,40,38,32,70,23,32,55,28,28,56,39,25,64,26,24,50,378
1542,Brighton Primary School,Primary,O,62,39,101,62,55,117,63,61,124,60,63,123,53,52,105,46,49,95,51,53,104,769
1125,Broadford Primary School,Primary,O,21,26,47,26,31,57,31,27,58,13,31,44,26,32,58,38,25,63,26,19,45,372
4875,Broadmeadows Primary School,Primary,O,26,15,41,20,19,39,18,23,41,26,19,45,29,16,45,17,15,32,20,21,41,284
5098,Broadmeadows Valley Primary School,Primary,O,25,13,38,17,14,31,12,10,22,27,20,47,31,12,43,17,17,34,15,21,36,251
862,Broken Creek Primary School,Primary,O,0,0,0,0,0,0,1,3,4,2,2,4,4,0,4,1,2,3,2,0,2,17
8908,Brookside P-9 College,Pri/Sec,O,60,56,116,50,63,113,50,66,116,66,62,128,53,50,103,49,50,99,61,49,110,785
3179,Brunswick East Primary School,Primary,O,32,30,62,42,26,68,28,32,60,22,36,58,46,16,62,47,37,84,27,29,56,450
3585,Brunswick North Primary School,Primary,O,49,39,88,52,43,95,45.6,33,78.6,37,48,85,47,41,88,24,35,59,37,29,66,559.6
4399,Brunswick North West Primary School,Primary,O,36,31,67,29,25,54,30,33,63,25,29,54,21,18,39,22,16,38,22,18,40,355
2743,Brunswick South Primary School,Primary,O,25,27,52,28.8,25,53.8,30,21,51,28,23.8,51.8,23,25,48,28,13,41,9.6,18.8,28.4,326
4304,Brunswick South West Primary School,Primary,O,40,33,73,29,32,61,36,26,62,34,31,65,22,24,46,17,32,49,15,15,30,386
1141,Bruthen Primary School,Primary,O,4,5,9,2,3,5,3,1,4,4,2,6,4,6,10,3,2,5,3,2,5,44
2072,Buangor Primary School,Primary,O,2,2,4,1,1,2,5,4,9,1,2,3,4,7,11,0,0,0,1,3,4,33
1905,Buchan Primary School,Primary,O,0,3,3,2,1,3,3,1,4,3,3,6,1,0,1,1,6,7,0,1,1,25
1288,Bullarto Primary School,Primary,O,1,0,1,1,0,1,1,1,2,0,0,0,1,0,1,0,0,0,3,0,3,8
2017,Buln Buln Primary School,Primary,O,13,22,35,17,14,31,16,7,23,15,12,27,14,16,30,7,10,17,10,9,19,182
5392,Bundalaguah Primary School,Primary,O,1,1,2,2,0,2,0,2,2,3,2,5,2,4,6,2,1,3,3,1,4,24
5228,Bundarra Primary School,Primary,O,14,14,28,15,9,24,12,8,20,15,11,26,22,16,38,22,19,41,17,13,30,207
4944,Bundoora Primary School,Primary,O,17,26,43,19,14,33,17,27,44,16,19,35,16,17,33,14,22,36,15,12,27,251
1960,Bungaree Primary School,Primary,O,2,1,3,3,2,5,1,1,2,1,1,2,4,2,6,1,3,4,4,2,6,28
1270,Buninyong Primary School,Primary,O,43,38,81,44,53,97,46,47,93,56,54,110,50,46,96,52,59,111,41,42,83,671
2229,Bunyip Primary School,Primary,O,16,14,30,24,13,37,25,12,37,19,18,37,25,18,43,25,23,48,17,19,36,268
454,Burwood East Primary School,Primary,O,29,34,63,16,15,31,10,17,27,12,15,27,16,20,36,18,25,43,15,9,24,251
4932,Burwood Heights Primary School,Primary,O,23,22,45,25,34,59,21,18,39,20,27,47,24,23,47,28,21,49,23,25,48,334
1669,Buxton Primary School,Primary,O,0,0,0,0,2,2,1,0,1,1,1,2,1,3,4,2,0,2,0,0,0,11
1434,Cairnlea Park Primary School,Primary,O,59,58,117,70,63,133,66,66,132,62,56,118,62,69,131,83,53,136,63,49,112,879
5384,Caledonian Primary School,Primary,O,23,22,45,17,12,29,23,10,33,27,18,45,17,12,29,19,10,29,13,13,26,236
123,California Gully Primary School,Primary,O,12,11,23,6,11,17,6,3,9,10,5,15,12,7,19,13,6,19,11,15,26,128
888,Camberwell Primary School,Primary,O,44,44,88,58,41,99,45,50,95,51,50,101,46,50,96,49,52,101,34,34,68,648
4170,Camberwell South Primary School,Primary,O,39,31,70,42,21,63,38,38,76,35,33,68,33,35,68,37,37,74,37,31,68,487
5312,Cambridge Primary School,Primary,O,78,64,142,74,81,155,80,74,154,83,68,151,63,67,130,74,78,152,79,55,134,1018
5111,Camelot Rise Primary School,Primary,O,24,28,52,35,27,62,36,33,69,29,39,68,43,29,72,35,28,63,27,26,53,439
1976,Camp Hill Primary School,Primary,O,30,26,56,28,26,54,28,27,55,25,27,52,26,21,47,23,29,52,20,33,53,369
5034,Campbellfield Heights Primary School,Primary,O,15,17,32,12,14,26,14,16,30,17,8,25,16,22,38,15,17,32,15,10,25,208
120,Campbells Creek Primary School,Primary,O,6,8,14,3,9,12,8.4,9,17.4,6,9,15,12,5,17,12,11,23,7,6,13,111.4
6259,Camperdown College,Pri/Sec,O,21,14,35,13,13,26,13,9,22,13,6,19,9,4,13,12,16,28,8,12,20,163
5383,Canadian Lead Primary School,Primary,O,12,13,25,19,5,24,17,17,34,15,10,25,16,18,34,11,7,18,12,11,23,183
3920,Cann River P-12 College,Pri/Sec,O,0,1,1,2,3,5,1,3,4,0,4,4,2,2,4,1,0,1,4,2,6,25
3572,Canterbury Primary School,Primary,O,46,38,84,43,41,84,50,38,88,43,43,86,37,33,70,44,39,83,54,51,105,600
1484,Cape Clear Primary School,Primary,O,1,2,3,1,1,2,2,2,4,0,1,1,1,2,3,3,0,3,1,0,1,17
3689,Cardinia Primary School,Primary,O,19,27,46,28,20,48,26,21,47,28,16,44,24,21,45,25,23,48,20.2,18,38.2,316.2
4263,Cardross Primary School,Primary,O,9,10,19,9,6,15,10,6,16,6,4,10,11,4,15,3,5,8,7,15,22,105
1030,Carisbrook Primary School,Primary,O,16,22,38,32,12,44,22,17,39,35,12,47,16,13,29,20,14,34,19,14,33,264
3497,Carlisle River Primary School,Primary,O,0,1,1,2,1,3,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,9
2605,Carlton Gardens Primary School,Primary,O,37,22,59,29,27,56,32,35,67,31,22,53,27,29,56,19,22,41,11,19,30,362
1252,Carlton North Primary School,Primary,O,22,25,47,30,16,46,24,13,37,17,31,48,20,21,41,16,25,41,21,9,30,290
4980,Carlton Primary School,Primary,O,17,6,23,16,10,26,9,8.4,17.4,7,9,16,9,6,15,6,4,10,4,3.4,7.4,114.8
2897,Carnegie Primary School,Primary,O,41,48,89,39,44,83,47,44,91,43,39,82,41,42,83,50,47,97,37,24,61,586
5486,Carranballac P-9 College,Pri/Sec,O,83,72,155,93,65,158,72,63,135,83,71,154,81,73,154,72,72,144,93,49,142,1042
1704,Carraragarmungee Primary School,Primary,O,3,1,4,2,1,3,2,4,6,1,1,2,0,5,5,3,3,6,0,0,0,26
5426,Carrington Primary School,Primary,O,10,5,15,5,3,8,9,8,17,4,4,8,10,3,13,10,8.6,18.6,9,10,19,98.6
3385,Carrum Primary School,Primary,O,17,24,41,22,24,46,20,21,41,29,25,54,22,22,44,19,13,32,22.2,28,50.2,308.2
5435,Carwatha College P-12,Pri/Sec,O,2,7,9,8,11,19,16,11,27,14,18,32,17,21,38,18,20,38,18,23,41,204
2058,Casterton Primary School,Primary,O,5,7,12,9,7,16,9,7,16,10,11,21,13,7,20,7,16,23,9,12,21,129
2051,Castlemaine North Primary School,Primary,O,19,14,33,19,20,39,21,10,31,20,17,37,17,20,37,24,23,47,1,18,19,243
