School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
4689,Katunga Primary School,Primary,O,9,5,14,9,8,17,5,3,8,4,11,15,6,1,7,10,8,18,6,6,12,91
2269,Katunga South Primary School,Primary,O,0,1,1,3,0,3,1,0,1,2,1,3,0,1,1,2,2,4,2,1,3,16
4877,Keilor Heights Primary School,Primary,O,49,30,79,35,36,71,25,45,70,47,26,73,43,38,81,37,35,72,30,37,67,513
1578,Keilor Primary School,Primary,O,36,22,58,39,38,77,57,31,88,54,50,104,31,38,69,46,41,87,31,37,68,551
5539,Keilor Views Primary School,Primary,O,33,30,63,29,23,52,24,27,51,34,32,66,42,34,76,38,31,69,36,31,67,444
3686,Kennington Primary School,Primary,O,58,37,95,29.4,35,64.4,42,36,78,49.6,36,85.6,54.2,35,89.2,44,47,91,55,31,86,589.2
2374,Kensington Primary School,Primary,O,42,34,76,35,38,73,46,39,85,37,28,65,35,32,67,29,46,75,29,20,49,490
5082,Kent Park Primary School,Primary,O,20,15,35,25,29,54,27,20,47,28,19,47,35,37,72,26,23,49,46,43,89,393
1410,Kerang Primary School,Primary,O,7,8,15,5,3,8,4.4,5,9.4,3,3,6,2,5,7,3,5,8,1,2,3,56.4
4949,Kerang South Primary School,Primary,O,13,4,17,13,8,21,9.4,13,22.4,12,12,24,15.4,16,31.4,10,6,16,20,17,37,168.8
4816,Kerrimuir Primary School,Primary,O,24,19,43,24,29,53,30,17,47,18,22,40,17,27,44,22,35,57,26,25,51,335
3161,Kew East Primary School,Primary,O,36,33,69,30,31,61,40,38,78,35,40,75,41,31,72,26,19,45,33,38,71,471
1075,Kew Primary School,Primary,O,39,30,69,33,30,63,42,30,72,37,27,64,44,40,84,22,32,54,39,40,79,485
5534,Keysborough Primary School,Primary,O,31,40,71,35,24,59,32,31,63,30,40,70,35,40,75,40,24,64,27,35,62,464
1366,Kialla Central Primary School,Primary,O,5,0,5,5,8,13,4,0,4,5,6,11,6,2,8,5,3,8,1,6,7,56
