,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
192,ROOFTOP,"12A Sun Cres, Sunshine VIC 3020, Australia",ChIJ-8QFQYBg1moRq9h7gzSERRc,"12A Sun Cres, Sunshine VIC 3020, Australia",-37.7875386,144.8306969,1,3020,OK,street_address
193,ROOFTOP,"8 Watt St, Sunshine VIC 3020, Australia",ChIJz24ImoBg1moRKUlTzkqY9qE,"8 Watt St, Sunshine VIC 3020, Australia",-37.7890863,144.8296239,1,3020,OK,street_address
194,ROOFTOP,"41 Lance Rd, Sunshine North VIC 3020, Australia",ChIJO_dMJ1te1moREiFfSiAaXGw,"41 Lance Rd, Sunshine North VIC 3020, Australia",-37.7614846,144.842929,1,3020,OK,street_address
195,ROOFTOP,"120 Anderson Rd, Sunshine VIC 3020, Australia",ChIJT-yrQNVf1moRCBcdBVy29pM,"120 Anderson Rd, Sunshine VIC 3020, Australia",-37.7840894,144.8280521,1,3020,OK,street_address
196,ROOFTOP,"95 Alfrieda St, St Albans VIC 3021, Australia",ChIJJwmOKXRf1moR_NnZODxvaTQ,"95 Alfrieda St, St Albans VIC 3021, Australia",-37.738007,144.801331,1,3021,OK,street_address
197,ROOFTOP,"3 W Esplanade, St Albans VIC 3021, Australia",ChIJ02HUZ5tf1moR_AiUEoo2PRc,"3 W Esplanade, St Albans VIC 3021, Australia",-37.742811,144.797679,1,3021,OK,street_address
198,ROOFTOP,"18 Alexina St, St Albans VIC 3021, Australia",ChIJPx04Dp1f1moRSYvFQHaOz9s,"18 Alexina St, St Albans VIC 3021, Australia",-37.7395928,144.798965,1,3021,OK,street_address
199,ROOFTOP,"28/39 Eucumbene Dr, Ravenhall VIC 3023, Australia",EjEyOC8zOSBFdWN1bWJlbmUgRHIsIFJhdmVuaGFsbCBWSUMgMzAyMywgQXVzdHJhbGlh,"28/39 Eucumbene Dr, Ravenhall VIC 3023, Australia",-37.7600822,144.7452695,1,3023,OK,subpremise
200,ROOFTOP,"23 Lexington Dr, Burnside VIC 3023, Australia",ChIJ026PrTz11moRfYHjfxm5aAA,"23 Lexington Dr, Burnside VIC 3023, Australia",-37.744885,144.7524068,1,3023,OK,street_address
201,ROOFTOP,"115 Kerferd Rd, Albert Park VIC 3206, Australia",ChIJy_hQSedn1moRGNn2Z_PJM-8,"115 Kerferd Rd, Albert Park VIC 3026, Australia",-37.846298,144.955138,1,3206,OK,street_address
202,ROOFTOP,"68-72 Nelson Ave, Altona Meadows VIC 3028, Australia",ChIJ4c0OUtOJ1moRbCTT021AFFs,"68-72 Nelson Ave, Altona VIC 3028, Australia",-37.8802488,144.7789552,1,3028,OK,street_address
203,ROOFTOP,"61 Central Ave, Altona Meadows VIC 3028, Australia",ChIJdRD7Vs6J1moRryajoY-_9Hw,"61 Central Ave, Altona Meadows VIC 3028, Australia",-37.8713635,144.771631,1,3028,OK,premise
204,ROOFTOP,"15 Perkins Ave, Hoppers Crossing VIC 3029, Australia",ChIJzXdOejaP1moRfiVc-QIr5tU,"15 Perkins Ave, Hoppers Crossing VIC 3029, Australia",-37.867193,144.691324,1,3029,OK,street_address
205,ROOFTOP,"37-43 Graham Ct, Hoppers Crossing VIC 3029, Australia",ChIJxcqn6e-I1moRghKKF8Ca3Wg,"37-43 Graham Ct, Hoppers Crossing VIC 3029, Australia",-37.873808,144.729314,1,3029,OK,street_address
206,ROOFTOP,"147-155 Hogans Rd, Hoppers Crossing VIC 3029, Australia",ChIJF-JdCzmP1moR57NAduRpUR8,"147-155 Hogans Rd, Hoppers Crossing VIC 3029, Australia",-37.862866,144.683234,1,3029,OK,street_address
207,ROOFTOP,"152-154 Bellbridge Dr, Hoppers Crossing VIC 3029, Australia",ChIJ2aUI2dqI1moRYh65lzJYzsQ,"152-154 Bellbridge Drive, Hoppers Crossing VIC 3029, Australia",-37.865684,144.710786,1,3029,OK,street_address
208,ROOFTOP,"116-120 Black Forest Rd, Wyndham Vale VIC 3024, Australia",ChIJYzrcRyeF1moRu4P5JlvqDd4,"116-120 Black Forest Rd, Wyndham Vale VIC 3030, Australia",-37.901142,144.625237,2,3024,OK,street_address
209,ROOFTOP,"23 Bergamot Dr, Point Cook VIC 3030, Australia",ChIJgb8LdZ2I1moR8ZBi4Y8Qosg,"Point Cook Senior Secondary College, Boardwalk Blvd & Bergamot Drive, Point Cook VIC 3030, Australia",-37.8875777,144.7337238,2,3030,OK,"establishment,point_of_interest,school"
