,accuracy,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
368,GEOMETRIC_CENTER,"1430 Western Hwy, Rockbank VIC 3335, Australia","Living Springs Baptist Church VIC,Australia",-37.7478888,144.7171293,1,3335,OK
369,ROOFTOP,"51 Lusher Rd, Croydon VIC 3136, Australia","Highway of Hope Church VIC,Australia",-37.8037299,145.2786732,1,3136,OK
370,ROOFTOP,"19 Claret Ash Blvd, Melton West VIC 3337, Australia","Melton Assembly of God Church VIC,Australia",-37.667874,144.545078,1,3337,OK
371,ROOFTOP,"1-5 West Melton Drive, Melton West VIC 3337, Australia","Melton Baptist Church VIC,Australia",-37.6780696,144.5687012,1,3337,OK
372,ROOFTOP,"55 Palmerston St, Melton VIC 3337, Australia","Melton Presbyterian Church VIC,Australia",-37.6815195,144.582578,2,3337,OK
373,ROOFTOP,"107 Living Way Rd, Adel, GA 31620, USA","Open Door Baptist Church VIC,Australia",31.1342835,-83.3910239,2,31620,OK
374,ROOFTOP,"222 Main St, Bacchus Marsh VIC 3340, Australia","Bacchus Marsh Christian Church Church VIC,Australia",-37.676301,144.442463,1,3340,OK
375,ROOFTOP,"49 Lydiard St S, Ballarat Central VIC 3350, Australia","Ballarat Anglican Church VIC,Australia",-37.5636298,143.8576949,1,3350,OK
376,ROOFTOP,"17 Dawson St N, Ballarat Central VIC 3350, Australia","Ballarat Christian Fellowship Church VIC,Australia",-37.5594398,143.8533425,1,3350,OK
377,GEOMETRIC_CENTER,"316 Walker St., Ballarat North VIC 3350, Australia","Ballarat North Baptist Church VIC,Australia",-37.541977,143.869176,1,3350,OK
378,ROOFTOP,"121 Gillies St S, Ballarat Central VIC 3350, Australia","one2one Gillies Street Churchof Christ Church VIC,Australia",-37.5660189,143.8162324,1,3350,OK
379,ROOFTOP,"410 York St, Ballarat East VIC 3350, Australia","York Street Church of Christ Church VIC,Australia",-37.5693382,143.880542,1,3350,OK
380,ROOFTOP,"102 Eureka St, Ballarat Central VIC 3350, Australia","Ballarat City Church Church VIC,Australia",-37.5672061,143.8690946,1,3350,OK
381,ROOFTOP,"289 Baillie St, Horsham VIC 3400, Australia","Southern Mallee CooperativeParish Church VIC,Australia",-36.713536,142.196807,1,3400,OK
382,ROOFTOP,"162 Baillie St, Horsham VIC 3400, Australia","Anglican Parish of Horsham Church VIC,Australia",-36.711285,142.199714,1,3400,OK
