formatted_address,input_string,latitude,longitude,postcode,name,Type 
"23 Lexington Dr, Burnside VIC 3023, Australia","Lake Caroline Community Church Church VIC,Australia",-37.744885,144.752407,3023,Lake Caroline Community Church Church,Christian
"115 Kerferd Rd, Albert Park VIC 3026, Australia","Albert Park/Port Melbourne Baptist Church VIC,Australia",-37.8462299,144.9551127,3026,Albert Park/Port Melbourne Baptist Church,Christian
"68-72 Nelson Ave, Altona VIC 3028, Australia","Altona Evangelical Church Church VIC,Australia",-37.880385,144.778968,3028,Altona Evangelical Church Church,Christian
"61 Central Ave, Altona Meadows VIC 3028, Australia","Altona Meadows/Laverton Uniting Church VIC,Australia",-37.8713621,144.7716416,3028,Altona Meadows/Laverton Uniting Church,Christian
"15 Perkins Ave, Hoppers Crossing VIC 3029, Australia","Connect City Church West Church VIC,Australia",-37.867193,144.691324,3029,Connect City Church West Church,Christian
"37-43 Graham Ct, Hoppers Crossing VIC 3029, Australia","Destiny Centre Church VIC,Australia",-37.873808,144.729314,3029,Destiny Centre Church,Christian
"147-155 Hogans Rd, Hoppers Crossing VIC 3029, Australia","South West Christian Church VIC,Australia",-37.8628669,144.6835738,3029,South West Christian Church,Christian
"152-154 Bellbridge Drive, Hoppers Crossing VIC 3029, Australia","Suburban Baptist Church VIC,Australia",-37.8658658,144.7117248,3029,Suburban Baptist Church,Christian
"116-120 Black Forest Rd, Wyndham Vale VIC 3030, Australia","Wyndham Presbyterian Church VIC,Australia",-37.900867,144.6253709,3030,Wyndham Presbyterian Church,Christian
"Point Cook Senior Secondary College, Boardwalk Blvd & Bergamot Drive, Point Cook VIC 3030, Australia","Lightpoint Church VIC,Australia",-37.887433,144.733617,3030,Lightpoint Church,Christian
"Raaf Base Chapel, Point Cook Road, Point Cook VIC 3030, Australia","Point Cook Presbyterian Church VIC,Australia",-37.9244378,144.7488743,3030,Point Cook Presbyterian Church,Christian
"225 Heaths Rd, Werribee VIC 3030, Australia","Werribee Baptist Church VIC,Australia",-37.877851,144.6821771,3030,Werribee Baptist Church,Christian
"200 Tarneit Rd, Werribee VIC 3030, Australia","Church of Christ Church VIC,Australia",-37.8830629,144.6626053,3030,Church of Christ Church,Christian
"12 Brighton St, Flemington VIC 3031, Australia","Newmarket Baptist Church VIC,Australia",-37.785458,144.930295,3031,Newmarket Baptist Church,Christian
"60 Maribyrnong Rd, Ascot Vale VIC 3032, Australia","Ascot Vale Uniting Church VIC,Australia",-37.7720309,144.9221698,3032,Ascot Vale Uniting Church,Christian
"97 Quinn Grove, Keilor East VIC 3033, Australia","Evangelical Christian Church Church VIC,Australia",-37.739698,144.8693181,3033,Evangelical Christian Church Church,Christian
"350 Calder Park Dr, Sydenham VIC 3037, Australia","Sydenham Baptist Church VIC,Australia",-37.700806,144.756603,3037,Sydenham Baptist Church,Christian
"1 Taylors Lakes VIC 3038 Victoria, Station St, Taylors Lakes VIC 3038, Australia","Brimbank Presbyterian Church VIC,Australia",-37.700128,144.77428,3038,Brimbank Presbyterian Church,Christian
"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia","Anglican Parish of St Thomas Church VIC,Australia",-37.7653157,144.9247005,3039,Anglican Parish of St Thomas Church,Christian
"820 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia","Essendon PresbyterianMoonee Ponds Church VIC,Australia",-37.7598643,144.9214185,3039,Essendon PresbyterianMoonee Ponds Church,Christian
"45 Eglinton St, Moonee Ponds VIC 3039, Australia","Moonee Ponds Baptist Church VIC,Australia",-37.7691774,144.9162382,3039,Moonee Ponds Baptist Church,Christian
"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia","The Anglican Parish Church VIC,Australia",-37.7653157,144.9247005,3039,The Anglican Parish Church,Christian
"5 Price St, Essendon VIC 3040, Australia","Aberfeldie Baptist Church VIC,Australia",-37.753547,144.893907,3040,Aberfeldie Baptist Church,Christian
"134 - 138 Buckley St, Essendon VIC 3040, Australia","Essendon Baptist Community Church VIC,Australia",-37.756332,144.913516,3040,Essendon Baptist Community Church,Christian
