formatted_address,input_string,latitude,longitude,postcode,type,Culture
"687 Doncaster Rd, Doncaster VIC 3108, Australia",Whitehorse Manningham Regional Library Corporation ,-37.7870199,145.1314944,3108,Library ,Itanlian
"28 McLachlan St, Horsham VIC 3400, Australia",Wimmera Regional Library Corporation ,-36.7128247,142.2010124,3400,Library ,Itanlian
"126 Hovell St, Wodonga VIC 3690, Australia",Wodonga Library ,-36.1241389,146.8888492,3690,Library ,Itanlian
"Pacific Werribee Shopping Centre, Level 1 MM11 Derrimut Road, Werribee VIC 3030, Australia",Wyndham City Library Service ,-37.8753489,144.6820197,3030,Library ,Itanlian
"340 Toorak Rd, South Yarra VIC 3141, Australia",Yarra Library ,-37.8401134,144.999451,3141,Library ,Itanlian
"Bag 65, Bundoora VIC 3083, Australia",Yarra Plenty Regional Library Service ,-37.69706,145.0590021,3083,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",Public Library Victoria Network Inc (PLVN) ,-37.8098087,144.9651897,3000,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",State Library Victoria ,-37.8098087,144.9651897,3000,Library ,Itanlian
"454 Glenferrie Rd, Kooyong VIC 3144, Australia",Vision Australia Information Library Service ,-37.838863,145.033169,3144,Library ,Itanlian
"1 Service St, Hampton VIC 3188, Australia",Bayside Library Service ,-37.9386488,145.0027125,3188,Library ,Mandarin
"Boroondara, VIC, Australia",City of Boroondara Library Service ,-37.8119024,145.0713904,,Library ,Mandarin
"301 Hampshire Rd, Sunshine VIC 3020, Australia",Brimbank Library ,-37.7835032,144.832086,3020,Library ,Mandarin
"310 Hare St, Echuca VIC 3564, Australia",Campaspe Regional Library ,-36.1235291,144.7488894,3564,Library ,Mandarin
"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",Casey Cardinia Library ,-37.929103,145.445716,3782,Library ,Mandarin
"178 Doveton St N, Ballarat VIC 3353, Australia",Central Highlands Library ,-37.5581412,143.8558981,3353,Library ,Mandarin
"55 Victoria St, Cobden VIC 3266, Australia",Corangamite Regional Library Corporation ,-38.327015,143.077078,3266,Library ,Mandarin
